1YrT-BillYield,EarningsPerShare,DividendPerShare,CurrentS&P500,S&P500NextWeek
6.02,20.87,12.12,373.33,375.73900000000003
5.88,20.87,12.12,381.17699999999996,378.63699999999994
5.7,20.87,12.12,387.81,390.56
5.31,20.87,12.12,389.897,390.59
5.41,20.87,12.12,396.63699999999994,389.968
5.23,19.35,12.15,385.09,386.93699999999995
5.14,19.35,12.15,386.87699999999995,388.26
5.03,19.35,12.15,376.8,392.8
5.04,19.35,12.15,387.93699999999995,392.958
4.71,19.35,12.15,389.968,397.407
4.53,19.35,12.15,378.53,376.55
4.3,17.82,12.28,380.07,377.69699999999995
3.92,17.82,12.28,383.47900000000004,399.33
3.94,17.82,12.28,417.09,418.1
4.11,17.82,12.28,420.77,418.12699999999995
4.18,17.82,12.28,410.34,413.84
4.31,17.82,12.28,417.12699999999995,408.26
4.29,17.82,12.28,415.35,409.33
4.76,15.97,12.2,404.03,409.147
4.53,15.97,12.2,407.52,404.22900000000004
4.1,15.97,12.2,394.5,416.28
4.19,15.97,12.2,409.81,412.02
4.2,15.97,12.2,416.79,416.44699999999995
4.15,15.97,12.2,415.38699999999994,412.167
4.18,16.2,12.32,414.59,407.25
4.14,16.2,12.32,402.26,403.83
3.57,16.2,12.32,412.87699999999995,410.28
3.36,16.2,12.32,417.1,410.92699999999996
3.48,16.2,12.32,422.22900000000004,422.18699999999995
3.26,16.2,12.32,417.78,418.17699999999996
3.34,16.2,12.32,413.51,417.97900000000004
3.07,17.05,12.32,416.36,419.917
2.95,17.05,12.32,417.43699999999995,417.8
3.06,17.05,12.32,404.25,409.37
3.4,17.05,12.32,415.667,420.12699999999995
3.46,17.05,12.32,417.77,422.19699999999995
3.59,17.05,12.32,422.85,429.18699999999995
3.57,18.04,12.39,429.88699999999994,435.647
3.53,18.04,12.39,431.52,439.03
3.45,18.04,12.39,438.82,434.52
3.31,18.04,12.39,433.03,433.37
3.24,18.04,12.39,438.11,447.19800000000004
3.3,18.04,12.39,446.22900000000004,433.3
3.18,18.04,12.39,440.87,449.26
3.26,19.09,12.38,456.33,448.31
3.21,19.09,12.38,448.07,451.668
3.14,19.09,12.38,442.72900000000004,448.658
3.06,19.09,12.38,443.62800000000004,438.02
3.11,19.09,12.38,444.52,444.8
3.31,19.09,12.38,447.57,453.43800000000005
3.53,19.84,12.48,453.85,445.78
3.37,19.84,12.48,447.42800000000005,443.18800000000005
3.21,19.84,12.48,450.53,442.83
3.26,19.84,12.48,450.08,447.17800000000005
3.4,19.84,12.48,447.18800000000005,448.54
3.28,19.84,12.48,450.458,456.04
3.27,19.84,12.48,460.129,463.149
3.19,19.33,12.52,456.649,461.6
3.24,19.33,12.52,456.199,460.11
3.19,19.33,12.52,460.73900000000003,461.48900000000003
3.29,19.33,12.52,466.07,464.61
3.43,19.33,12.52,463.02,463.719
3.5,19.33,12.52,464.81,462.36
3.45,20.41,12.52,461.889,466.29
3.44,20.41,12.52,461.84,467.32
3.46,20.41,12.52,470.58,467.55
3.42,20.41,12.52,474.16900000000004,474.3
3.34,20.41,12.52,473.19800000000004,482.0
3.69,20.41,12.52,472.77,472.79
3.85,20.41,12.52,470.689,464.81
4.08,21.88,12.58,467.06,469.41900000000004
4.18,21.88,12.58,468.54,445.55
4.46,21.88,12.58,448.05,446.26
4.66,21.88,12.58,441.959,451.87
5.13,21.88,12.58,451.719,441.48900000000003
4.86,21.88,12.58,453.689,456.34
4.98,21.88,12.58,457.629,457.06
4.91,22.71,12.71,460.61,453.09
5.22,22.71,12.71,447.629,446.129
5.09,22.71,12.71,448.72900000000004,451.6
5.09,22.71,12.71,452.57,461.449
5.3,22.71,12.71,460.3,465.16900000000004
5.28,22.71,12.71,469.03,475.48900000000003
5.36,25.2,12.84,470.959,468.8
5.57,25.2,12.84,461.459,464.84
5.68,25.2,12.84,453.52,465.469
5.83,25.2,12.84,470.28,462.62
6.0,25.2,12.84,466.5,465.399
6.24,25.2,12.84,465.6,449.83
6.56,25.2,12.84,453.689,451.22900000000004
6.68,27.33,12.93,454.969,459.61
6.73,27.33,12.93,460.86,460.71
6.47,27.33,12.93,461.66,469.72
6.37,27.33,12.93,467.44,470.4
6.45,27.33,12.93,481.19,484.54
6.05,27.33,12.93,485.07,485.65
6.09,30.63,13.18,483.14,491.88
5.91,30.63,13.18,495.67,503.12
5.94,30.63,13.18,505.57,507.17
5.79,30.63,13.18,504.92,512.66
5.63,30.63,13.18,520.48,524.36
5.67,30.63,13.18,527.07,528.61
5.22,32.65,13.18,533.4,533.13
5.37,32.65,13.18,536.47,543.98
5.34,32.65,13.18,544.73,547.26
5.23,32.65,13.18,560.89,550.98
5.33,32.65,13.18,561.61,558.8
5.47,32.65,13.18,555.11,559.21
5.37,32.65,13.18,560.1,563.84
5.35,34.62,13.37,572.68,583.35
5.31,34.62,13.37,581.73,584.41
5.3,34.62,13.37,581.47,584.5
7.09,15.23,7.84,210.28900000000002,212.96
7.05,15.23,7.84,215.97,219.75900000000001
6.859,15.23,7.84,224.03900000000002,224.33900000000003
6.55,14.61,7.9,232.53900000000002,235.6
6.399,14.61,7.9,237.3,235.71
5.909,14.61,7.9,233.75,242.22
6.21,14.61,7.9,241.75,235.52
6.119,14.61,7.9,236.08,237.53900000000002
6.279,14.61,7.9,235.449,246.63
6.5,14.52,8.02,243.94,241.13
6.22,14.52,8.02,244.99,248.929
5.97,14.52,8.02,252.699,242.82
5.819,14.52,8.02,235.00900000000001,238.669
5.76,14.52,8.02,236.58900000000003,236.83900000000003
5.63,14.52,8.02,245.669,249.77
5.26,14.52,8.02,253.3,250.08
5.399,14.71,8.1,247.05900000000003,231.679
5.51,14.71,8.1,236.27900000000002,233.6
5.25,14.71,8.1,236.679,238.8
5.439,14.71,8.1,236.25900000000001,240.94
5.479,14.71,8.1,246.58,246.639
5.47,14.71,8.1,237.66,248.77
5.39,14.85,8.23,253.83,250.96
5.56,14.85,8.23,247.55900000000003,246.75
5.529,14.85,8.23,242.169,255.33
5.409,14.85,8.23,262.63599999999997,267.84
5.479,14.85,8.23,275.39599999999996,279.63599999999997
5.659,14.85,8.23,277.54,285.416
5.56,14.85,8.23,284.0,288.62
5.64,14.48,8.28,290.31,292.78
5.71,14.48,8.28,300.376,292.38599999999997
6.029,14.48,8.28,297.26,284.437
6.329,14.48,8.28,287.187,284.57
6.31,14.48,8.28,295.468,293.97900000000004
6.63,14.48,8.28,278.20799999999997,288.72900000000004
6.479,15.1,8.34,293.468,297.468
6.279,15.1,8.34,304.81,306.86
6.159,15.1,8.34,302.937,308.29
6.079,15.1,8.34,310.416,308.468
6.43,15.1,8.34,315.64599999999996,318.447
6.449,15.1,8.34,332.38599999999997,329.83
6.689,15.1,8.34,334.57,321.677
7.159,14.42,8.52,313.916,314.86
7.159,14.42,8.52,321.187,321.83
7.63,14.42,8.52,318.54,305.22900000000004
6.47,14.42,8.52,258.376,253.27900000000002
6.449,14.42,8.52,248.96,241.899
6.359,14.42,8.52,245.55,244.1
6.529,15.86,8.66,233.449,238.889
6.71,15.86,8.66,248.08,253.16
6.619,15.86,8.66,247.86,258.88599999999997
6.529,15.86,8.66,245.80900000000003,242.63
6.229,15.86,8.66,249.38,252.21
6.149,15.86,8.66,256.656,259.20799999999997
6.189,15.86,8.66,264.427,267.08
6.239,17.5,8.81,269.06,268.64599999999996
6.35,17.5,8.81,268.906,258.07
6.529,17.5,8.81,265.48900000000003,271.57
6.55,17.5,8.81,256.126,263.8
6.8,17.5,8.81,260.32,253.30900000000003
6.92,17.5,8.81,251.35,253.75900000000001
7.1,17.5,8.81,266.687,271.52
6.989,18.59,8.95,274.447,275.656
6.989,18.59,8.95,270.97900000000004,272.02
